Gemeentenaam;Gemeentecode
Aa en Hunze;1680
Aalburg;0738
Aalsmeer;0358
Aalten;0197
Achtkarspelen;0059
Alblasserdam;0482
Albrandswaard;0613
Alkmaar;0361
Almelo;0141
Almere;0034
Alphen aan den Rijn;0484
Alphen-Chaam;1723
Ameland;0060
Amersfoort;0307
Amstelveen;0362
Amsterdam;0363
Apeldoorn;0200
Appingedam;0003
Arnhem;0202
Assen;0106
Asten;0743
Baarle-Nassau;0744
Baarn;0308
Barendrecht;0489
Barneveld;0203
Bedum;0005
Beek;0888
Beemster;0370
Beesel;0889
Bellingwedde;0007
Bergambacht;0491
Bergeijk;1724
Bergen (L.);0893
Bergen (NH.);0373
Bergen op Zoom;0748
Berkelland;1859
Bernheze;1721
Bernisse;0568
Best;0753
Beuningen;0209
Beverwijk;0375
het Bildt;0063
De Bilt;0310
Binnenmaas;0585
Bladel;1728
Blaricum;0376
Bloemendaal;0377
Bodegraven-Reeuwijk;1901
Boekel;0755
Ten Boer;0009
Borger-Odoorn;1681
Borne;0147
Borsele;0654
Boxmeer;0756
Boxtel;0757
Breda;0758
Brielle;0501
Bronckhorst;1876
Brummen;0213
Brunssum;0899
Bunnik;0312
Bunschoten;0313
Buren;0214
Bussum;0381
Capelle aan den IJssel;0502
Castricum;0383
Coevorden;0109
Cranendonck;1706
Cromstrijen;0611
Cuijk;1684
Culemborg;0216
Dalfsen;0148
Dantumadiel;1891
Delft;0503
Delfzijl;0010
Deurne;0762
Deventer;0150
Diemen;0384
Dinkelland;1774
Doesburg;0221
Doetinchem;0222
Dongen;0766
Dongeradeel;0058
Dordrecht;0505
Drechterland;0498
Drimmelen;1719
Dronten;0303
Druten;0225
Duiven;0226
Echt-Susteren;1711
Edam-Volendam;0385
Ede;0228
Eemnes;0317
Eemsmond;1651
Eersel;0770
Eijsden-Margraten;1903
Eindhoven;0772
Elburg;0230
Emmen;0114
Enkhuizen;0388
Enschede;0153
Epe;0232
Ermelo;0233
Etten-Leur;0777
Ferwerderadiel;1722
Franekeradeel;0070
De Friese Meren;1921
Geertruidenberg;0779
Geldermalsen;0236
Geldrop-Mierlo;1771
Gemert-Bakel;1652
Gennep;0907
Giessenlanden;0689
Gilze en Rijen;0784
Goeree-Overflakkee;1924
Goes;0664
Goirle;0785
Gorinchem;0512
Gouda;0513
Graft-De Rijp;0365
Grave;0786
's-Gravenhage;0518
Groesbeek;0241
Groningen;0014
Grootegast;0015
Gulpen-Wittem;1729
Haaksbergen;0158
Haaren;0788
Haarlem;0392
