Gemeentecode;Gemeentenaam;Provincienaam;Provinciecode
1680;Aa en Hunze;Drenthe;22
0738;Aalburg;Noord-Brabant;30
0358;Aalsmeer;Noord-Holland;27
0197;Aalten;Gelderland;25
0059;Achtkarspelen;Friesland;21
0482;Alblasserdam;Zuid-Holland;28
0613;Albrandswaard;Zuid-Holland;28
0361;Alkmaar;Noord-Holland;27
0141;Almelo;Overijssel;23
0034;Almere;Flevoland;24
0484;Alphen aan den Rijn;Zuid-Holland;28
1723;Alphen-Chaam;Noord-Brabant;30
0060;Ameland;Friesland;21
0307;Amersfoort;Utrecht;26
0362;Amstelveen;Noord-Holland;27
0363;Amsterdam;Noord-Holland;27
0200;Apeldoorn;Gelderland;25
0003;Appingedam;Groningen;20
0202;Arnhem;Gelderland;25
0106;Assen;Drenthe;22
0743;Asten;Noord-Brabant;30
0744;Baarle-Nassau;Noord-Brabant;30
0308;Baarn;Utrecht;26
0489;Barendrecht;Zuid-Holland;28
0203;Barneveld;Gelderland;25
0005;Bedum;Groningen;20
0888;Beek;Limburg;31
0370;Beemster;Noord-Holland;27
0889;Beesel;Limburg;31
0007;Bellingwedde;Groningen;20
1945;Berg en Dal;Gelderland;25
1724;Bergeijk;Noord-Brabant;30
0893;Bergen (L.);Limburg;31
0373;Bergen (NH.);Noord-Holland;27
0748;Bergen op Zoom;Noord-Brabant;30
1859;Berkelland;Gelderland;25
1721;Bernheze;Noord-Brabant;30
0753;Best;Noord-Brabant;30
0209;Beuningen;Gelderland;25
0375;Beverwijk;Noord-Holland;27
0063;het Bildt;Friesland;21
0310;De Bilt;Utrecht;26
0585;Binnenmaas;Zuid-Holland;28
1728;Bladel;Noord-Brabant;30
0376;Blaricum;Noord-Holland;27
0377;Bloemendaal;Noord-Holland;27
1901;Bodegraven-Reeuwijk;Zuid-Holland;28
0755;Boekel;Noord-Brabant;30
0009;Ten Boer;Groningen;20
1681;Borger-Odoorn;Drenthe;22
0147;Borne;Overijssel;23
0654;Borsele;Zeeland;29
0756;Boxmeer;Noord-Brabant;30
0757;Boxtel;Noord-Brabant;30
0758;Breda;Noord-Brabant;30
0501;Brielle;Zuid-Holland;28
1876;Bronckhorst;Gelderland;25
0213;Brummen;Gelderland;25
0899;Brunssum;Limburg;31
0312;Bunnik;Utrecht;26
0313;Bunschoten;Utrecht;26
0214;Buren;Gelderland;25
0502;Capelle aan den IJssel;Zuid-Holland;28
0383;Castricum;Noord-Holland;27
0109;Coevorden;Drenthe;22
1706;Cranendonck;Noord-Brabant;30
0611;Cromstrijen;Zuid-Holland;28
1684;Cuijk;Noord-Brabant;30
0216;Culemborg;Gelderland;25
0148;Dalfsen;Overijssel;23
1891;Dantumadiel;Friesland;21
0503;Delft;Zuid-Holland;28
0010;Delfzijl;Groningen;20
0762;Deurne;Noord-Brabant;30
0150;Deventer;Overijssel;23
